Investigation,,,,,,
 Item ID , Item Name ,  OP , Day Care , Economy , Double ," Single/
ICU "
110,Cryoglobulins Screening Qualitative ( UL2028 ),1250,,,,
111,"Cyclosporine , C0 ( Before Dose ) - (C)",2950,,,,
112,"Cyclosporine , C2 ( After dose) - (C)",2950,,,,
113,CYSTATIN C LEVEL,1550,1550,1550,1550,1550
114,DEHYDROEPIANDROSTERONE SULPHATE - DHEA SO4,1300,1300,1300,1300,1300
115,Digoxin Lanoxin Level (C),1200,,,,
116,Drug Allergy Panel (C),4000,,,,
117,DUAL MARKER TEST,2400,2500,2500,2500,2500
118,"Electrolytes, Serum",450,450,450,450,450
119,ELECTROPHORESIS OF SERUM PROTEINS,950,950,950,950,950
120,Erythropoietin (EPO),2000,2000,2000,2000,2000
121,ESTRADIOL - 3rd GENERATION,700,700,700,700,700
122,"Ferritin, Serum",600,600,600,600,600
123,Fluid Bilirubin,250,,,,
124,Fluid Creatinine,250,,,,
125,Fluid LDH,400,,,,
126,Fluid Triglycerides,250,,,,
127,"Folate (Folic acid), Serum",1200,1200,1200,1200,1200
128,"Follicle- Stimulating Hormone (FSH), Serum",750,750,750,750,750
129,FREE BETA - hCG,950,950,950,950,950
130,FREE LIGHT CHAIN KAPPA / LAMDA,4900,4900,4900,4900,4900
131,Free PSA,950,,,,
132,FREE TESTOSTERONE,2000,2000,2000,2000,2000
133,"Free Thyroid profile, Serum",650,650,650,650,650
134,FRUCTOSAMINE,625,625,625,625,625
135,G6 PDH,1000,1000,1000,1000,1000
136,"Gamma GT, Serum",200,200,200,200,200
137,GASTRIN,1650,1650,1650,1650,1650
138,GGTP - Gamma-Glutamyl Transpeptidase,370,,,,
139,Globulin,200,,,,
140,GLOMERULAR FILTRATION RATE - eGFR,150,150,150,150,150
141,Glucose Challenge Test,200,200,200,200,200
142,GLUCOSE TOLERANCE TEST - GTT,320,320,320,320,320
143,GROWTH HORMONE,1000,1000,1000,1000,1000
144,Growth Hormone Stimulation Test,3850,,,,
145,"Haptoglobin , Serum - (C)",2250,,,,
146,Heavy And Trace Metals Profile - (C),12500,,,,
147,High-Density Lipoprotein - HDL,300,300,300,300,300
148,HOMOCYSTEINE,1570,1570,1570,1570,1570
149,HSCRP ( hs C - reactive protein ),1000,,,,
150,"IMMUNOFIXATION ELECTROPHORESIS ( IFE ) , 24 HOUR URINE - ( L )",8600,,,,
151,"IMMUNOTYPING ( IMMUNOFIXATION ELECTROPHORESIS ( IFE ) ) , Serum - ( L )",7000,,,,
152,INHIBIN A,1100,1100,1100,1100,1100
153,INHIBIN B,2300,2300,2300,2300,2300
154,INSULIN - FASTING,700,700,700,700,700
155,INSULIN - PP,700,700,700,700,700
156,INSULIN - Random,700,700,700,700,700
157,Intrinsic Factor Antibody - (C),3000,,,,
158,IONISED CALCIUM,650,650,650,650,650
159,"Iron and TIBC, serum",600,600,600,600,600
160,IRON PROFILE,1000,1000,1000,1000,1000
161,"Iron, serum",450,450,450,450,450
162,KIDNEY FUNCTION TEST ( BASIC) - KFT,500,600,600,600,600
163,LACTATE,1350,1350,1350,1350,1350
164,LDH,400,400,400,400,400
165,Ldl Cholesterol - Direct,365,365,365,365,365
166,LEAD,2200,2200,2200,2200,2200
167,LEPTIN,4950,4950,4950,4950,4950
168,Levetiracetam - (C),7000,,,,
169,LIPASE - BODY FLUID,700,700,700,700,700
170,"Lipase, serum",600,600,600,600,600
171,LIPID PROFILE,700,700,700,700,700
172,LITHIUM,425,425,425,425,425
173,Liver Cytosolic Antigen-1 (LC-1) Antibody (C),3850,,,,
174,LIVER FUNCTION TEST,700,700,700,700,700
175,Luteinizing Hormone - LH,750,750,750,750,750
176,"Magnesium, serum",400,400,400,400,400
177,Maternal Screening Quadruple Test,3400,3400,3400,3400,3400
178,Metanephrine - 24 Hrs Urine,3000,,,,
179,Metanephrine Free - Plasma - (L),6500,,,,
180,Methotrexate Drug Levels - (C),3300,,,,
181,Mg - Spot Urine,150,,,,
182,MICRO ALBUMIN CREATININE RATIO,700,700,700,700,700
183,Multiple Myeloma Comprehensive Panel Quantitative - Serum (C),8000,,,,
184,Myoglobin Serum (C),4400,4900,4900,4900,4900
185,Myoglobin Urine,1300,,,,
186,New Born Screening (NBS 10) RL,2500,2500,2500,2500,2500
187,NIPT (C),15750,15750,15750,15750,15750
188,NMO with MOG Profile Antibody,7250,,,,
189,OSMOLALITY - SERUM,950,950,950,950,950
190,OSMOLALITY - URINE,950,950,950,950,950
191,PARATHORMONE - PTH,1500,1500,1500,1500,1500
192,"Phenobarbitone, Serum - (C)",1200,,,,
193,phenytoin level (C),1300,1300,1300,1300,1300
194,Phosphorous,210,210,210,210,210
195,Plasma Renin Aldosterone Ratio,2400,2400,2400,2400,2400
196,"Porphyrins Total, Qualitative, Random Urine",6000,,,,
197,"Potassium, serum",150,150,150,150,150
198,"Potassium, Spot Urine",150,150,150,150,150
199,PROGESTERONE,750,750,750,750,750
200,PROLACTIN,750,750,750,750,750
201,PROSTATE SPECIFIC ANTIGEN - PSA,700,700,700,700,700
202,PROTEIN - BODY FLUID,150,150,150,150,150
203,PROTEIN C,3000,3000,3000,3000,3000
204,PROTEIN ELECTROPHORESIS-24 HOURS URINE,2200,2200,2200,2200,2200
205,PROTEIN S,3000,3000,3000,3000,3000
206,PTHRP - Parathyroid Hormone Related Protein (C),16500,,,,
207,RBC Folate (C),2750,2750,2750,2750,2750
208,Serum Ascites Albumin Gradient (SAAG),400,400,400,400,400
209,Serum B2 Microglobulin,1600,1600,1600,1600,1600
210,Serum Bile Acid,1900,1800,1800,1800,1800
211,SEX HORMONE BINDING GLOBULIN - SHBG,2800,2800,2800,2800,2800
212,SGOT (AST),150,150,150,150,150
213,SGPT(ALT),150,150,150,150,150
214,"Sodium, serum",150,150,150,150,150
215,Spot Urinary Chloride,150,150,150,150,150
216,SPOT Urine ACR,350,350,350,350,350
217,STONE ANALYSIS,1350,1350,1350,1350,1350
218,SUGAR - BODY FLUID,100,100,100,100,100
219,SUGAR - CSF,100,100,100,100,100
220,T3 Free,275,275,275,275,275
221,T4 Free,275,275,275,275,275
222,Tacrolimus Levels,3800,,,,
223,TESTOSTERONE,800,800,800,800,800
224,Thyroid Stimulating Hormone - TSH,250,300,300,300,300
225,TOTAL ANTIOXIDANT STATUS,1500,1500,1500,1500,1500
226,Total Cholesterol,160,160,160,160,160
227,Total Iron Binding Capacity - TIBC,490,490,490,490,490
228,"Total Protein, Serum",240,240,240,240,240
229,TOTAL THYROXINE - T4,225,225,225,225,225
230,TOTAL TRIIODOTHYRONINE - T3,225,225,225,225,225
231,TPHA,950,950,950,950,950
232,TPMT Enzyme activity,6500,,,,
233,TRANSFERRIN SATURATION,450,450,450,450,450
234,Triglycerides,250,250,250,250,250
